name,rating,runtime,genre,votescore,metacritic,year,votes,gross,budget,director
Cowboy Bebop: The Movie,TV-14,115 min,"Animation, Action, Crime",7.8,61,(2001),"48,992",$1.00M,"$1,000,045",Shin'ichirô Watanabe
DC League of Super-Pets,PG,105 min,"Animation, Action, Adventure",7.4,56,(2022),"55,092",,"$90,000,000 (estimated)",Jared Stern
Despicable Me,PG,95 min,"Animation, Adventure, Comedy",7.6,72,(2010),"545,384",$251.51M,"$69,000,000 (estimated)",Pierre Coffin
Despicable Me 2,PG,98 min,"Animation, Adventure, Comedy",7.3,62,(2013),"399,904",$368.06M,"$76,000,000 (estimated)",Pierre Coffin
Despicable Me 3,PG,89 min,"Animation, Adventure, Comedy",6.2,49,(2017),"135,640",$264.62M,"$80,000,000 (estimated)",Kyle Balda
Dinosaur,PG,82 min,"Animation, Adventure, Drama",6.4,56,(2000),"61,240",$137.75M,"$127,500,000 (estimated)",Eric Leighton
Dragon Ball Super: Broly,PG,100 min,"Animation, Action, Adventure",7.7,59,(2018),"27,861",$30.71M,"$8,500,000 (estimated)",Tatsuya Nagamine
Dragon Ball Z: Battle of Gods,TV-PG,85 min,"Animation, Action, Adventure",7.1,,(2013),"28,308",$2.55M,"$2,553,002",Masahiro Hosoda
DuckTales the Movie: Treasure of the Lost Lamp,G,74 min,"Animation, Adventure, Comedy",6.8,,(1990),"27,095",$18.12M,"$18,115,724",Bob Hathcock
Dumbo,G,64 min,"Animation, Adventure, Drama",7.2,96,(1941),"132,328",$1.60M,"$950,000 (estimated)",Samuel Armstrong
Encanto,PG,102 min,"Animation, Comedy, Family",7.2,75,(2021),"215,702",$96.09M,"$50,000,000 (estimated)",Jared Bush
Enchanted,PG,107 min,"Animation, Adventure, Comedy",7.1,75,(2007),"199,177",$127.81M,"$85,000,000 (estimated)",Kevin Lima
Epic,PG,102 min,"Animation, Action, Adventure",6.6,52,(2013),"105,733",$107.52M,"$100,000,000 (estimated)",Chris Wedge
Escape from Planet Earth,PG,89 min,"Animation, Adventure, Comedy",5.8,35,(2012),"25,877",$57.01M,"$40,000,000 (estimated)",Cal Brunker
Final Fantasy VII: Advent Children,PG-13,101 min,"Animation, Action, Adventure",7.2,,(2005),"56,700",,-1,Tetsuya Nomura
Fantasia,G,125 min,"Animation, Family, Fantasy",7.7,96,(1940),"96,814",$76.41M,"$2,280,000 (estimated)",James Algar
Fantasia 2000,G,75 min,"Animation, Family, Fantasy",7.1,59,(1999),"38,802",$60.66M,"$80,000,000 (estimated)",James Algar
Fantastic Mr. Fox,PG,87 min,"Animation, Adventure, Comedy",7.9,83,(2009),"230,896",$21.00M,"$40,000,000 (estimated)",Wes Anderson
Ferdinand,PG,108 min,"Animation, Adventure, Comedy",6.7,58,(2017),"57,594",$84.41M,"$111,000,000 (estimated)",Carlos Saldanha
